Lat,Lon,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
-72.5,2.5,0.078678,0.065015,0.10498,0.10299,0.028076,0.11836,0.097567,-0.0124,0.073926,0.11336,0.15035,0.067858,-0.031267,0.13423,0.14295,0.090155,0.036632,0.18076,-0.10837,-0.016491,-0.024137,-0.0028368,0.021616,0.052749,0.070129,0.096312,0.029855,0.086019,0.030333,0.077328,0.017728,4.44E-05,0.032748,0.0375,0.08195,0.046227,-0.047438,0.044774,0.049452,0.061489,0.10725,0.010691,0.028451,0.03523,-0.011955,0.081452,0.018405,0.0143,0.0096717,0.0031232,0.043661,-0.0013618,0.00069266,-0.0054272,0.084679,0.10121,0.12244,-0.010273,0.031088,0.026867,0.043737,0.079427,0.12083,0.10329,0.026486,-0.0022383,0.026067,0.09314,-0.018354,-0.11411,0.091618,0.0415,-0.079419,0.0074929,0.055688,0.038306,0.068902,0.012705,-0.031941,-0.06295,-0.014975,-0.023378,0.010446,0.024155,0.039435,0.028646,0.0079125,-0.059252,-0.080012,0.10278,0.030359,0.060715,-0.029976,0.065195,0.0025054,0.13196,0.078908,0.024964,-0.009127,0.032823,0.11235,0.10341,-0.0012125,-0.032361,-0.20027,-0.15314,-0.041068,-0.082674,-0.11436,-0.0063911,-0.012791,-0.054622
-67.5,2.5,0.068131,0.0031278,0.062161,0.22895,0.040436,0.0056044,0.15207,-0.019468,0.075665,0.12538,0.094723,-0.09218,-0.092144,0.007623,0.11969,0.069715,0.00013246,0.21411,-0.20494,-0.1229,-0.12214,-0.045731,-0.057174,-0.030777,0.15236,-0.11607,0.10132,0.12559,-0.03826,0.081818,-0.042292,-0.0083767,-0.0066559,0.087743,0.074214,-0.0015329,-0.098376,-0.010212,0.12415,0.025268,0.022507,-0.10346,0.077326,0.050401,-0.0091418,-0.029306,-0.011943,0.011523,0.0074034,-0.01595,0.10903,-0.050108,-0.1017,-0.089243,0.12854,0.1066,0.17408,-0.074607,-0.052825,0.0052141,0.057307,0.095548,0.12585,-0.020317,0.10741,-0.13445,0.047459,0.10415,-0.0062235,-0.1184,0.12453,0.051928,-0.11727,0.10259,0.0846,0.080854,0.016461,0.014721,0.0095018,-0.16825,0.052072,0.14221,-0.049752,0.051542,0.038566,0.033049,0.032859,-0.234,-0.072292,0.064842,-0.0081685,-0.031301,0.033548,0.070357,0.080867,0.31593,0.27745,0.014426,0.19322,-0.055661,0.098384,0.013707,-0.20241,-0.22028,-0.2721,-0.032588,-0.028294,-0.13047,0.051849,-0.073796,0.062958,-0.08653
-62.5,2.5,0.062524,0.020072,0.090152,0.13998,-0.1615,0.12415,0.5148,-0.11868,0.15124,0.27867,0.28873,0.21855,-0.021383,0.047212,0.28498,0.18683,0.10373,0.18295,-0.29275,-0.18473,-0.16554,0.048432,0.022319,-0.029727,0.092015,-0.043953,0.046684,0.18043,0.088187,0.055311,0.014461,-0.0072995,0.077794,-0.10333,0.03742,-0.012232,-0.096745,0.037496,0.18312,-0.10182,0.13062,0.11465,0.19387,0.032274,0.093963,0.17164,0.0085835,0.21815,0.069071,0.036636,0.19897,-0.065998,-0.032316,-0.036004,0.33482,0.21409,0.31161,0.029148,0.031453,0.10365,0.15406,0.050128,0.24309,-0.036958,0.19791,-0.051181,0.033468,0.20566,0.050519,-0.28112,0.18883,0.071602,-0.19501,0.22804,0.23608,0.15537,-0.084224,0.011236,-0.014901,-0.085896,-0.11978,0.17946,-0.01678,-0.013635,-0.016034,0.036516,-0.024539,-0.30664,-0.066766,0.14162,0.046495,-0.17215,0.24975,0.30959,0.19247,0.3435,0.34405,0.04056,0.37501,-0.07381,0.06966,0.19176,-0.091585,-0.16693,-0.36724,-0.34271,-0.2493,-0.29742,-0.30225,0.0044758,0.07434,-0.05574
-57.5,2.5,0.11955,-0.20989,0.090076,0.29416,-0.28503,0.078079,0.33049,-0.1309,0.058817,-0.025845,0.10799,-0.032828,-0.064829,-0.18391,0.18931,0.11776,-0.023324,0.12304,-0.2747,-0.23762,-0.38417,-0.23116,-0.092091,-0.15726,0.17519,-0.17226,0.062572,0.063351,-0.10549,0.096468,0.023181,-0.01749,0.021298,-0.24558,-0.14073,0.073536,-0.075584,-0.10083,0.095142,-0.058011,0.21467,0.027776,0.071779,-0.041184,0.058931,0.070443,0.072729,0.080155,-0.036217,-0.067525,0.28268,-0.093979,-0.098176,0.0334,0.54459,0.10188,0.29321,0.056343,-0.026036,0.17611,0.1778,0.20847,0.37072,-0.052837,0.0028671,-0.041564,0.095546,0.28517,0.035903,-0.11523,0.11705,-0.15312,-0.17289,0.11768,0.08803,0.18253,0.061924,0.035848,0.081036,-0.077484,0.14391,0.24017,-0.1254,-0.035294,-0.17837,-0.20959,-0.11194,-0.26993,-0.11452,0.14297,0.060195,-0.31301,0.18913,0.31501,0.20638,0.22576,0.20961,0.10683,0.55328,0.04995,0.10208,-0.084881,-0.20869,-0.21191,-0.40876,0.10165,0.29453,-0.2772,-0.53906,0.061442,0.14262,-0.050334
-52.5,2.5,0.078391,-0.12886,0.067367,0.11389,-0.11118,-0.051454,-0.19383,-0.015482,-0.079929,-0.2117,-0.10478,-0.1622,-0.0541,-0.071924,-0.021254,-0.015395,-0.10209,0.01313,-0.064183,0.022988,-0.15384,-0.29821,-0.018277,-0.063312,0.082015,-0.00050834,0.032716,-0.11715,-0.10427,0.012788,-0.064972,0.037328,-0.1192,-0.17833,-0.073256,0.064613,-0.058981,-0.14631,-0.08154,0.027115,0.10909,-0.027319,0.0034078,-0.06594,0.065078,-0.1214,0.0079943,-0.1189,-0.15813,-0.075249,0.085025,-0.01132,-0.051139,0.070251,0.18593,-0.054019,0.082622,0.024373,-0.11471,0.026876,0.04157,0.23426,0.15015,0.036461,-0.10262,-0.030871,0.10516,0.11821,-0.0066922,0.14271,-0.034637,-0.14322,-0.040824,-0.080993,-0.10506,-0.011259,0.06218,0.076864,0.05486,-0.014412,0.20989,-0.013194,-0.11698,-0.027726,-0.088612,-0.13443,-0.070176,-0.051597,-0.12009,-0.041916,0.00070151,-0.29816,-0.044015,0.018305,0.052768,0.00069165,-0.0064833,0.14431,0.1055,0.13226,0.016576,-0.21811,-0.066173,0.049174,0.011055,0.2296,0.38856,0.11871,-0.1431,0.061413,0.18238,0.013713
-47.5,2.5,-0.09086,-0.030934,-0.099119,-0.13055,-0.1378,-0.11714,-0.24138,0.053836,-0.060791,-0.21553,-0.15547,-0.0061061,-0.0013402,0.078727,-0.092299,0.088389,-0.062062,-0.19465,-0.016142,0.07386,0.12958,-0.19881,0.20001,0.092126,0.030487,0.20615,-0.010933,-1.76E-05,0.059042,0.0099274,-0.044049,0.090422,0.023993,-0.16946,0.05946,0.13421,-0.0090449,-0.11586,0.015557,0.08187,0.10714,0.021549,-0.10053,0.014056,0.057272,0.015203,0.16942,-0.019374,-0.12461,0.048297,0.011908,0.094435,0.14569,0.16575,0.034606,-0.030536,0.037353,-0.064068,-0.061557,0.096071,0.062737,0.24378,-0.059951,0.1287,0.0074568,0.13419,0.047955,-0.079726,-0.043373,0.076799,-0.093137,-0.013317,0.14913,0.058281,0.01999,-0.030683,-0.03781,0.04521,-0.055042,0.023895,-0.038117,-0.17441,0.096017,-0.038716,-0.061816,0.017616,-0.083931,0.12717,-0.015053,-0.23367,-0.05021,-0.27472,-0.24661,-0.028717,-0.031104,-0.03324,-0.088687,0.17601,-0.11223,0.15103,0.21412,-0.11547,0.50272,0.063125,0.016062,-0.039843,0.10768,0.37416,-0.070529,-0.015352,-0.028073,0.12885
-42.5,2.5,-0.14456,-0.39739,0.050077,0.061836,-0.063332,-0.14413,-0.27278,-0.060998,-0.33008,-0.22528,-0.29473,-0.036161,0.049189,0.12667,-0.060233,0.014366,-0.13477,-0.28648,-0.2849,0.025713,-0.2203,-0.32791,-0.17378,0.11104,-0.14117,0.082284,-0.057843,0.074534,-0.234,-0.014861,-0.030481,-0.019642,0.10104,-0.15592,-0.049276,0.058196,-0.1244,-0.25186,-0.11211,-0.04873,0.17302,-0.12286,-0.13614,-0.059049,-0.15082,0.10644,0.34511,-0.12529,0.010212,-0.11968,-0.098729,-0.019971,-0.012875,-0.060031,0.10023,-0.1449,0.075844,-0.038477,0.079006,-0.058015,0.041288,0.062112,-0.15994,0.026628,-0.14998,0.17288,-0.081063,-0.019948,-0.2717,-0.037475,-0.12368,-0.24925,0.077387,-0.10107,0.021579,-0.16736,0.17347,-0.056771,-0.19946,-0.21397,0.071336,-0.2787,0.13108,0.22933,-0.16016,-0.19449,0.1384,0.027919,-0.060595,-0.088516,-0.089956,0.11361,-0.05706,0.34747,-0.037611,-0.1391,-0.15612,0.11128,0.28257,-0.037599,0.32382,0.032785,0.22735,-0.18217,-0.30105,-0.12318,0.43561,0.11309,-0.22756,0.028536,-0.32315,-0.15011
-37.5,2.5,0.11131,-0.20769,0.29739,0.070845,-0.24911,0.3426,-0.2143,-0.029138,-0.018798,0.22155,0.064748,0.25879,0.096215,0.088445,0.24717,0.14462,-0.043691,0.041207,-0.38363,-0.00018503,-0.26553,-0.26143,-0.11493,0.24977,0.073103,0.098184,0.081258,-0.00092009,0.059109,0.068966,0.034758,-0.02294,-0.026542,0.053941,0.071374,0.025989,-0.14471,-0.097612,0.006571,-0.0564,0.31339,0.088032,-0.24538,-0.12617,0.031189,-0.048837,0.16961,-0.15709,-0.033394,-0.050175,-0.11464,0.11355,-0.20418,0.1074,0.14433,-0.092039,0.14675,0.083978,0.099953,-0.034148,0.19018,0.39671,0.34135,0.35911,-0.12179,0.023235,0.111,0.061339,-0.083148,-0.13429,-0.073498,-0.20895,0.11486,-0.14119,-0.078377,-0.22784,0.18619,-0.037243,-0.28301,-0.10412,-0.16066,-0.19169,0.084203,0.19342,0.023549,-0.090087,-0.0632,0.18341,-0.31793,-0.015723,0.15907,-0.13734,-0.12925,0.58594,0.20579,0.14308,-0.21839,0.53403,0.022891,-0.29489,-0.047083,-0.025463,0.14983,-0.4056,-0.34986,-0.079046,0.17918,0.12693,-0.028252,0.081302,-0.34378,-0.17679
-32.5,2.5,0.00091821,0.039717,0.10908,-0.0041648,-0.2499,0.085484,0.029016,0.07781,0.018614,0.038908,0.13493,0.078184,0.14671,-0.062358,0.018558,0.087581,0.080491,-0.055592,-0.132,-0.078682,-0.049156,-0.0023976,0.040864,0.11892,0.029526,-0.10027,0.071408,-0.0050386,0.19124,0.0099961,0.037187,0.12334,-0.046714,-0.06593,0.0059335,-0.075827,0.10023,0.08558,0.16425,-0.19924,0.063589,0.10379,-0.075701,-0.11111,0.14009,-0.014365,-0.077306,-0.0054636,0.11131,0.11895,-0.022044,0.066013,-0.055292,0.10481,0.13573,0.021587,0.031803,0.010135,0.089319,0.089767,0.092477,0.080271,0.082538,0.072413,-0.03081,-0.075103,0.12454,-0.029909,-0.089142,-0.040235,-0.12993,-0.060477,0.1364,0.051852,-0.028218,-0.10277,-0.027451,-0.072638,-0.034357,0.037201,-0.17199,-0.070476,-0.006118,0.025154,0.086138,-0.12664,-0.17195,0.21267,0.10524,-0.050367,0.17723,-0.14147,0.059283,0.3536,-0.11684,-0.087936,-0.1536,0.17142,-0.038758,-0.16765,-0.072466,-0.16003,0.012081,-0.039794,-0.077522,0.055357,-0.066828,0.24911,-0.089284,0.0074567,-0.090508,0.048854
-27.5,2.5,-0.00059968,0.040203,0.028475,0.033987,-0.052505,-0.010646,0.032984,0.040583,-0.011776,-0.080946,0.044222,-0.045251,0.015319,-0.0027999,-0.04095,0.014021,0.0010335,0.023546,-0.021006,-0.0012478,-0.028025,-0.022413,0.039336,-0.017784,0.0091256,-0.024379,0.024848,0.041265,0.015309,0.020482,-0.037301,0.066867,-0.0061808,-0.073836,-0.027903,0.023732,0.027206,0.020171,0.060733,-0.047145,0.02641,0.0077677,0.017022,-0.03609,0.032983,0.040888,-0.025055,-0.010082,0.067015,0.012871,0.069268,-0.020823,0.028129,0.01255,0.10141,0.066915,0.07388,-0.0079759,0.033003,0.053102,0.0071173,-0.0087024,-0.022168,-0.051423,0.021045,-0.046972,0.0086201,0.011088,-0.040402,-0.019614,-0.036233,0.036258,-0.0036821,0.042039,0.017963,0.043776,0.029171,-0.030974,0.05259,0.01434,0.042824,0.0099271,-0.018409,0.039343,-0.019446,-0.074541,-0.070285,-0.066959,0.014484,-9.77E-05,0.05187,-0.045351,0.060648,0.08922,-0.1436,-0.068394,0.00040685,-0.031876,0.019393,0.078869,0.11125,-0.043073,-0.060331,0.0566,-0.062276,0.052487,0.044389,0.076166,-0.14478,0.043108,0.048029,0.025678
